Nazwa,Dzielnica,Adres,Kod,Sporty,Telefon,E-mail,WWW,Operator,Status,System rezerwacji,Przypisany,Osoba kontaktowa,Ostatni kontakt,Followup,Notatki,AI,Ostatnia zmiana
Centrum Sportu Politechniki Poznańskiej: Hala Sportowa im. Wojciecha Weissa,Święty Roch,"Piotrowo 4, 61-138 Poznań, Polska",61-138,piłka ręczna / futsal / koszykówka / siatkówka / inne,61 665 34 92,cspp@put.poznan.pl,https://cspp.put.poznan.pl/,Politechnika Poznańska,Nowy,Telefon,,,,,,"<cite index=""2-1,2-2"">Centrum Sportu Politechniki Poznańskiej na ul. Piotrowo 4 w Poznaniu</cite> zarządza nowoczesną halą sportową o imienia Wojciecha Weissa. <cite index=""2-4"">Rezerwacje można dokonać telefonicznie pod numery 61 665-25-17 (SWF) i 61 665-27-17 (sala sportowa), mailowo: cspp@put.poznan.pl</cite>, lub <cite index=""6-4,6-5"">dla kortów tenisowych i squash'a pod nr 61 665 34 92, bądź poprzez panel rezerwacyjny na stronie</cite>. <cite index=""2-13"">Obiekt oferuje boiska dla następujących dyscyplin: piłka ręczna, futsal, koszykówka, siatkówka, korfball, badminton, unihokej, tenis.</cite>",
Centrum Treningowe Polonii Środa Wielkopolska,,Poznań,,wielofunkcyjne,,,https://stadionsredzki.pl/centrum-treningowe-polonii/,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie pod numerem 61 285 25 20 lub przez e-mail biuro@polonia-sroda.pl. Dolne boisko jest ogólnodostępne bezpłatnie w godzinach 6:00-22:00 bez rezerwacji.,
CITYZEN,,"Droga Dębińska, 10c, Poznań",61-555,wielofunkcyjne,+48 61 835 50 38,biuro@cityzenklub.pl,https://www.cityzenklub.pl/,,Nowy,Nieznany,,,,,,"Strona główna nie zawiera widocznych informacji o systemie rezerwacji; dostępne są menu nawigacyjne (Pływalnia, Fitness, Programy, Kursy, Półkolonie), ale brak bezpośredniego linku do rezerwacji online lub wskazań jak dokonać booking.",
CITYZEN_,,"Droga Dębińska 10c, 61-555 Poznań, Polska",,wielofunkcyjne,61 833 05 11,"basen@cityzenklub.pl, klubsportowy@cityzenklub.pl",http://www.chwialka.poznan.pl/,Klub Sportowy CITYZEN_ (współwystępuje z Akademią Wychowania Fizycznego AWF Poznań),Nowy,Nieznany,,,,,,,
Concordia,,"Mściszewska, 21, Murowana Goślina",62-095,wielofunkcyjne,61 812 21 20,,https://www.ckis.murowana-goslina.pl/,,Nowy,Nieznany,,,,,,"Brak informacji o systemie rezerwacji na stronie głównej. Konieczna analiza innych sekcji witryny (Kontakt, Sport) w celu weryfikacji dostępnych opcji rezerwacji.",
Cooliozum,,"Święty Marcin 45, 61-806 Poznań, Polska",,piłka nożna / inne,+48 792 881 812,rezerwacje@cooliozum.pl,https://cooliozum.pl,Bar prywatny / sport pub,Nowy,E-mail,,,,,,,
Dawny stadion Energetyka Poznań,,Poznań,,wielofunkcyjne,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Fabryka Formy Bałtyk,,"Franklina Roosevelta 22, 60-829 Poznań, Polska",,inne,61 646 75 63,baltyk@fabryka-formy.pl,https://www.fabryka-formy.pl,Fabryka Formy sp. z o.o.,Nowy,Własny system,,,,,,"Fabryka Formy Bałtyk to nowoczesny klub fitness zlokalizowany przy ul. Franklina Roosevelta 22 w Poznaniu, zarządzany przez Fabryka Formy sp. z o.o. Obiekt mieści się w biurowcu Bałtyk w centrum miasta, oferuje 2210 m² powierzchni treningowej z pełnym wyposażeniem do fitnessu i treningu. Rezerwacja zajęć oraz zakup karnetu dostępne przez własny system online na stronie fabryka-formy.pl. Kontakt: telefon 61 646 75 63, email baltyk@fabryka-formy.pl.",
Fabryka Formy Korty Arena,,"Reymonta 35, 60-791 Poznań, Polska",,wielofunkcyjne,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,POSiR (Poznańskie Ośrodki Sportu i Rekreacji),Nowy,Nieznany,,,,,,"Hala POSiR Sporty Walki przy ul. Reymonta 35 w Poznaniu to obiekt zarządzany przez POSiR, przeznaczony dla sportów walki (boks, taekwondo, judo). Hala przeszła modernizację w 2016 roku i dysponuje profesjonalnym ringiem bokserskim, urządzeniami do ćwiczeń siłowych oraz matami amortyzacyjnymi. Rezerwacja dostępu wymaga kontaktu z zarządzającym, dane kontaktowe wymuszają bezpośredni kontakt z POSiR.",
fairPlayce,,"Bożydara 10, 61-607 Poznań, Polska",,wielofunkcyjne,61 828 79 04,recepcja@fairplayce.pl,https://www.fairplayce.pl/,RJBM – spółka z o.o. (prywatna firma),Nowy,Telefon,,,,,,"Park Rekreacyjno-Sportowy fairPlayce przy ul. Bożydara 10 w Poznaniu to wielofunkcyjny kompleks sportowy, zarządzany przez prywatną firmę RJBM sp. z o.o. Oferuje korty do tenisa, badmintona, squasha, tenis stołowy oraz siłownię i sale fitness. Rezerwacje boisk dokonuje się telefonicznie pod numerem 61 828 79 04 lub mailowo na adres recepcja@fairplayce.pl. Obiekt czynny jest 24 godziny na dobę. Strona internetowa: https://www.fairplayce.pl/",
Fitness Klub CityFit - Siłownia 24h Poznań Galeria Pestka - HYROX TRAINING CLUB,,"Aleje Solidarności 47, 61-696 Poznań, Polska",,inne,22 113 93 00,m.nogala@cityfit.pl,https://cityfit.pl/kluby/poznan-pestka/,CityFit (firma),Nowy,Własny system,,,,,,"Fitness Klub CityFit to nowoczesna siłownia 24h zlokalizowana na Alei Solidarności 47 w Galerii Pestka Poznań. Zarządza nią firma CityFit, polska sieć klubów fitness. Klub oferuje członkowskie karty z elastycznymi warunkami i możliwością rezerwacji zajęć online. Członkowie mają dostęp 24/7 bez ograniczeń godzin otwarcia. Rezerwację i informacje o członkostwie można zrealizować przez oficjalną stronę www lub skontaktować się bezpośrednio pod podanym numerem telefonu.",
Fitness Point,,"Galeria MM, Święty Marcin 24, 61-805 Poznań, Polska",,wielofunkcyjne,+48 728 470 119,recepcja.poznan@fitnesspoint.com.pl,https://www.fitnesspoint.com.pl,Fitness Point Poznań SP. ZO.O. (firma prywatna),Nowy,Telefon,,,,,,"Fitness Point Poznań to klub fitness w Galerii MM (Święty Marcin 24), zarządzany przez firmę Fitness Point Poznań SP. ZO.O. Otwiera się od 6:00 (poniedziałek-piątek), z godzinami dostosowanymi dla weekendu. Rezerwacje można dokonać telefonicznie pod numer +48 728 470 119 lub kontaktując się mailowo (recepcja.poznan@fitnesspoint.com.pl). Członkostwo wymaga zawarcia umowy, a zajęcia grupowe mogą wymagać rezerwacji w przypadku dużej frekwencji.",
GOS Hala Sportowa,,"Szkolna, 20, Suchy Las",62-002,wielofunkcyjne,61 892 65 35,[email protected],http://gos.suchylas.pl/,Gminny Ośrodek Sportu – jednostka organizacyjna gminy Suchy Las,Nowy,Nieznany,,,,,,"Gminny Ośrodek Sportu w Suchym Lesie (GOS) zarządza halą sportowo-widowiskową przy ul. Szkolnej 20 w Suchym Lesie, utworzoną w 2003 r. jako jednostka organizacyjna gminy. Hala jest przystosowana do piłki nożnej, koszykówki, siatkówki i piłki ręcznej. Rezerwacje można dokonać telefonicznie na numer 61 89 26 535 lub mailowo na [email protected], szczegóły dostępne na stronie gos.suchylas.pl. Biuro administracji mieści się przy ul. Szkolnej 18.",
GOSiR Komorniki,,"Polna, 37, Komorniki",62-052,wielofunkcyjne,+48 61 810 79 47,biuro@gosirkomorniki.pl,https://gosirkomorniki.pl/,,Nowy,Telefon,,,,,,Rezerwacje możliwe telefonicznie na numer +48 61 81 07 947 lub mailowo na biuro@gosirkomorniki.pl; brak wyraźnego systemu online.,
Hala Dydaktyczno-Sportowa AWF,,"61-001 Poznań, Polska",,hokej / piłka ręczna / koszykówka / siatkówka,61 833 05 11,,http://www.chwialka.poznan.pl/,Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,Nowy,Nieznany,,,,,,,
Hala POSiR Sporty Walki,,"Reymonta 35, 60-791 Poznań, Polska",,wielofunkcyjne,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,POSiR (Poznańskie Ośrodki Sportu i Rekreacji),Nowy,Nieznany,,,,,,"Hala POSiR Sporty Walki przy ul. Reymonta 35 w Poznaniu to obiekt zarządzany przez POSiR, przeznaczony dla sportów walki (boks, taekwondo, judo). Hala przeszła modernizację w 2016 roku i dysponuje profesjonalnym ringiem bokserskim, urządzeniami do ćwiczeń siłowych oraz matami amortyzacyjnymi. Rezerwacja dostępu wymaga kontaktu z zarządzającym, dane kontaktowe wymuszają bezpośredni kontakt z POSiR.",
Hala Sportowa,,Poznań,,wielofunkcyjne,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,Strona domeny orlik2012.pl jest niedostępna - wyświetla tylko stronę rejestratora Aftermarket.pl. Nie można określić sposobu rezerwacji obiektu sportowego.,
Hala sportowa Akademickiego Związeku Sportowego,,"60-607 Poznań; gen. Pułaskiego 30, 60-607 Poznań, Polska",,koszykówka / siatkówka,61 853 03 60,poznan@azs.pl,http://www.poznanazs.pl/,Akademicki Związek Sportowy (organizacja sportowa),Nowy,Telefon,,,,,,,
Hala Sportowa AWF Poznań,Łęgi Dębińskie,"ul. Królowej Jadwigi 27/39, 61-871 Poznań",61-872,siatkówka / koszykówka / futsal,61 835 50 00,,https://awf.poznan.pl,,Nowy,Nieznany,,,,,,"Strona główna AWF Poznań nie zawiera informacji o rezerwacjach dla obiektu sportowego Hala Sportowa. Dostępny jest link ""Wynajem obiektów"" w menu, który może zawierać informacje o rezerwacjach, ale jego zawartość nie została dostarczona.",
Hala Sportowa Politechniki Poznańskiej,Święty Roch,"ul. Piotrowo 4, 61-138 Poznań",61-139,siatkówka / koszykówka / futsal,,,https://put.poznan.pl,,Nowy,Nieznany,,,,,,Strona główna Politechniki Poznańskiej nie zawiera informacji o systemie rezerwacji Hali Sportowej. Brak bezpośredniego linku do rezerwacji lub instrukcji dotyczących księgowania obiektu sportowego.,
Hala sportowa Uniwersytetu Ekonomicznego,,"Dożynkowa 9, 61-622 Poznań, Polska",,futsal / koszykówka / siatkówka,+48 61 825 06 01,,"https://ue.poznan.pl/pl/zycie-studenckie,c24/sport,c2135/studium-wychowania-fizycznego-i-sportu,c2099/informacje-ogolne,c2101/",Uniwersytet Ekonomiczny w Poznaniu (Studium Wychowania Fizycznego i Sportu),Nowy,Telefon,,,,,,"Hala sportowa Uniwersytetu Ekonomicznego w Poznaniu (Studium Wychowania Fizycznego i Sportu) przy ul. Dożynkowej 9J. Zarządzana przez Uniwersytet Ekonomiczny. Rezerwacja możliwa telefonicznie pod numerem +48 61 825 06 01. Hala dostępna do wynajęcia zwłaszcza w soboty i niedziele; dostępne są zajęcia z futsalu, koszykówki, siatkówki i tenisa stołowego.",
Hala Sportowa w Czerwonaku,,"Leśna, 6, Czerwonak",62-004,wielofunkcyjne,+48 61 646 01 67,w.grabinski@akwenczerwonak.pl (wynajem sal) / b.hinc@akwenczerwonak.pl (wynajem sal),https://akwenczerwonak.pl/halasportowa/,AKWEN,Nowy,Zewnętrzny,,,,,,"Hala Sportowa AKWEN w Czerwonaku to wielofunkcyjny obiekt sportowy zarządzany przez Centrum Rozwoju Kultury Fizycznej (jednostkę Gminy Czerwonak). Wynajęcie sal - w tym hali sportowej - odbywa się za pośrednictwem platformy konferencje.pl oraz poprzez bezpośredni kontakt z opiekunami wynajmu (Wojciech Grabiński: 61 646 01 62, w.grabinski@akwenczerwonak.pl; Berenika Hinc: 61 646 01 62, b.hinc@akwenczerwonak.pl). Hala czynna poniedziałek–piątek 7:00–22:00 (w wakacje 7:00–15:00).",
Hala Sportowa w Tulcach,,"Poznańska, 1, Tulce",63-004,wielofunkcyjne,61 872 73 03,,http://www.kleszczewo.pl/page.php?o=592,Gminny Ośrodek Kultury i Sportu w Kleszczewie (GOKiS),Nowy,Nieznany,,,,,,,
Hala Sportowa Wydziału Kadr i Szkolenia KWP w Poznaniu,,"Promienista 17, 60-288 Poznań, Polska",,piłka nożna / siatkówka,+48 604 200 199,,https://reverto.pl/,"Komenda Wojewódzka Policji w Poznaniu, Wydział Kadr i Szkolenia",Nowy,Telefon,,,,,,Hala Sportowa Wydziału Kadr i Szkolenia KWP w Poznaniu (ul. Promienista 28) jest obiektem zarządzanym przez Komendę Wojewódzką Policji. Otwarta poniedziałek-piątek 09:00-20:00. Rezerwacje można wykonywać telefonicznie pod numerem +48 604 200 199. Obiekt dysponuje boiskami do siatkówki i futsalu.,
"Hala Sportowa, siłownia, sauna",Osiedle Przyjaźni,ul. Szarych Szeregów,64-320,wielofunkcyjne,61 814 91 40,osrodekrataje@posir.poznan.pl,http://www.osir-buk.pl/,Ośrodek Sportu i Rekreacji w Buku,Nowy,Telefon,,,,,,"Rezerwacje przyjmowane telefonicznie pod numerem +48 61 81 49 140 lub mailowo na osirbuk@post.pl. Na stronie znajduje się ""Grafik wynajmu"" i ""Cennik"", ale brak własnego systemu rezerwacji online.",
Hala sportowo-widowiskowa Wacław,,Sportowa 6 Szamotuły,,wielofunkcyjne,+48 61 292 14 85,,https://csszamotuly.pl/obiekty/hala-waclaw/,,Nowy,Telefon,,,,,,"Rezerwacje wyłącznie telefoniczne - strona wskazuje na grafik i zapisy, a kontakt telefoniczny to jedyny podany sposób rezerwacji: 61 29 25 320.",
Hala Uniwersytecka,,"Zagajnikowa, 9, Poznań",61-602,wielofunkcyjne,61 829 64 01,,http://swfis.amu.edu.pl/,,Nowy,Nieznany,,,,,,"Strona główna obiektu nie zawiera informacji o systemie rezerwacji; dostępny jest link do sekcji ""Wynajem"" obiektu, ale bez szczegółów dotyczących procedury rezerwacji.",
Hala Uniwersytetu Przyrodniczego,,"Dojazd 7, 60-632 Poznań, Polska",,piłka nożna / futsal / siatkówka / piłka ręczna / siatkówka plażowa,61 846 62 50,ckf@up.poznan.pl,https://sparrow.up.poznan.pl/ckf/,Uniwersytet Przyrodniczy w Poznaniu (Centrum Kultury Fizycznej),Nowy,Zewnętrzny,,,,,,"Hala Uniwersytetu Przyrodniczego (Centrum Kultury Fizycznej UPP) przy ul. Dojazd 7 to wielofunkcyjny obiekt sportowy zarządzany przez Uniwersytet Przyrodniczy w Poznaniu. Rezerwacje boisk i hal można dokonywać przez system Bo5.pl (online) lub telefonicznie pod numerem +48-61-846-6250. Obiekt oferuje m.in. halę sportową, korty tenisowe, siłownię i boiska do plażówki. Kontakt: ckf@up.poznan.pl, strona: https://sparrow.up.poznan.pl/ckf/",
Hala Widowiskowo-Sportowa,,"Mściszewska, 10, Murowana Goślina",62-095,wielofunkcyjne,+48 61 811 23 36; +48 506 560 792,biuro@mgsport.com.pl,https://mgsportinieruchomosci.pl/,"<cite index=""14-4,14-5"">MG Sport Sp. z o.o.</cite>",Nowy,Telefon,,,,,,"<cite index=""1-1,1-2"">Hala widowiskowo-sportowa w Murowanej Goślinie usytuowana jest obok Szkoły Podstawowej nr 1 przy ul. Mściszewskiej 10.</cite> <cite index=""14-4,14-5"">Od 24 kwietnia 2009 roku realizację inwestycji prowadzi MG Sport Sp. z o.o.</cite> <cite index=""10-2"">Hala widowiskowo-sportowa znajduje się w Centrum Kultury i Sportu.</cite> Rezerwacje dokonywane są poprzez telefon lub kontakt email bezpośrednio z operatorem.",
Hangar,Naramowice,"Karpia, 31, Poznań",61-619,wielofunkcyjne,+48 609 051 033,,https://www.hangar31.pl/,,Nowy,Nieznany,,,,,,Na podstawie dostarczonej treści strony nie można określić systemu rezerwacji - brak informacji o sposobie dokonywania rezerwacji.,
Klub sportowy KS 1920 Mosina,,Poznań,,piłka nożna,,,http://www.osirmosina.pl/,,Nowy,E-mail,,,,,,Rezerwacje odbywają się poprzez kontakt e-mail (osir@mosina.pl) lub telefonicznie; brak własnego systemu online.,
Klub Uczelniany AZS Politechniki Poznańskiej,,Poznań,,wielofunkcyjne,+48 61 665 28 17,azs@put.poznan.pl,https://cspp.put.poznan.pl/azs/,,Nowy,Nieznany,,,,,,"Strona klubu zawiera informacje o strukturze organizacyjnej i sekcjach sportowych, ale brak szczegółowych informacji o systemie rezerwacji obiektów sportowych.",
Kohorta,Chartowo,"Os. Lecha, 43",60-112,wielofunkcyjne,,,https://kohorta.pl,,Nowy,Własny system,,,,,,"Klub oferuje rejestrację online poprzez przycisk ""Zapisz się!"" na stronie głównej, a także rezerwacje telefoniczne i mailowe.",
Kompleks sportowo-rekreacyjny w Czerwonaku,,Poznań,,wielofunkcyjne,+48 61 646 01 62,w.grabinski@akwenczerwonak.pl,https://akwenczerwonak.pl/boiska-sportowe/,AKWEN,Nowy,Nieznany,,,,,,,
Kompleks sportowy w Owińskach,,Poznań,,wielofunkcyjne,+48 61 646 01 62,w.grabinski@akwenczerwonak.pl,https://akwenczerwonak.pl/boiska-sportowe/,AKWEN,Nowy,Nieznany,,,,,,,
Korty Rataje POSiR,,"osiedle Piastowskie 106A, 61-139 Poznań, Polska",,wielofunkcyjne,506 042 344,rataje@posir.poznan.pl,https://www.posir.poznan.pl/obiekty/rataje/korty-tenisowe,POSiR (Poznańskie Ośrodki Sportu i Rekreacji) - jednostka miejska,Nowy,Zewnętrzny,,,,,,"Korty Rataje POSiR to ośrodek tenisowy zarządzany przez Poznańskie Ośrodki Sportu i Rekreacji. Kompleks znajduje się na os. Piastowskim 106A w Poznaniu i posiada 2 korty zewnętrzne oraz 4 korty kryte. Rezerwacje możliwe przez system online Reservise (https://reservise.com/online/posirtenis/), mailowo na rataje@posir.poznan.pl lub telefonicznie. Obiekty dostępne codziennie 08:00-22:00.",
Korty tenisowe w Szreniawie GOSiR Komorniki,,Poznań,,wielofunkcyjne,+48518715572,,https://gosirkomorniki.pl/obiekty-gosir/korty-tenisowe-w-szreniawie/,,Nowy,Nieznany,,,,,,,
"Kórnickie Centrum Rekreacji i Sportu ""OAZA""",,"Ignacego Krasickiego, 1, Kórnik",62-035,wielofunkcyjne,+48 61 649 88 75,biuro@oaza.kornik.pl,https://www.oaza.kornik.pl,Samorządowa jednostka budżetowa Miasta i Gminy Kórnik,Nowy,Telefon,,,,,,"Kórnickie Centrum Rekreacji i Sportu ""OAZA"" to samorządowa jednostka budżetowa zarządzana przez Miasto i Gminę Kórnik. Mieści się pod adresem ul. Ignacego Krasickiego 1 w Kórniku. Oferuje hale sportowe, pływalnię, fitness, siłownię i różne atrakcje wodne. Rezerwacje i informacje o wizytach można uzyskać poprzez telefon +48 61 649 88 75 lub email biuro@oaza.kornik.pl. Centrum czynne jest codziennie od 06:30 do 22:30.",
Kórnickie Centrum Rekreacji i Sportu OAZA,,"Sportowa, 15, Błażejewko",62-035,siatkówka / piłka nożna,+48 61 649 88 75,biuro@oaza.kornik.pl,https://oaza.kornik.pl,samorządowa jednostka budżetowa - Kórnickie Centrum Rekreacji i Sportu (zarządzane przez Miasto i Gminę Kórnik),Nowy,Brak / z marszu,,,,,,"Kórnickie Centrum Rekreacji i Sportu OAZA w Błażejewku (Sportowa 15) to ośrodek sportowo-rekreacyjny zarządzany przez samorządową jednostkę budżetową Gminy Kórnik. Oferuje bezpłatne kąpielisko sezonowe (czerwiec-wrzesień, 10:00-18:00) oraz boiska do gry w piłkę nożną i siatkówkę. Rezerwacji boisek można dokonywać telefonicznie (+48 61 649 88 75) lub mailowo (biuro@oaza.kornik.pl). Dostęp do kąpieliska i plaży jest wolny.",
KS Pocztowiec,,Poznań,,wielofunkcyjne,61 665 34 92,osrodekrataje@posir.poznan.pl,https://cspp.put.poznan.pl/,,Nowy,Własny system,,,,,,"Strona zawiera link do ""Rezerwacje obiektów on-line"" w sekcji Obiekty sportowe, wskazując na własny system rezerwacji online.",
KS Warta Poznań,Łęgi Dębińskie,ul. Droga Dębińska,61-555,wielofunkcyjne,+48 61 833 77 01,biuro@kswarta.pl,https://www.kswarta.pl/,,Nowy,Nieznany,,,,,,"Na stronie KS Warta Poznań nie znaleziono informacji o systemie rezerwacji lub dostępie do obiektów. Strona zawiera głównie informacje o strukturze klubu, sekcjach sportowych, aktualościach i osiągnięciach.",
LOSiR Hala widowiskowo - sportowa,,"Wojska Polskiego, 1, Luboń",62-030,piłka nożna / futsal / siatkówka / piłka ręczna,61 899 22 35,losir@losir.eu,http://www.losir.eu/,LOSiR Sp. z o.o. (spółka prywatna),Nowy,Telefon,,,,,,"LOSiR Sp. z o.o. to nowoczesny kompleks sportowo-rekreacyjny w Luboniu (ul. Hugona Kołłątaja 2) zarządzany przez spółkę prywatną. Hala widowiskowo-sportowa oferuje boiska wielofunkcyjne do piłki nożnej, siatkówki, koszykówki i piłki ręcznej. Rezerwacje dokonuje się telefonicznie pod numerem 61 899 22 35 lub mailowo (losir@losir.eu). Brak informacji o godzinach stałych otwarcia — godziny zmienne w zależności od harmonogramu wynajęcia.",
MK Bowling Poznań,Stare Miasto,"Święty Marcin 24, 61-805 Poznań, Polska",61-827,inne,(61) 222 50 51,biuro.poznan@mkbowling.pl,https://www.mkbowling.pl/start-poznan,MK Bowling (firma prywatna),Nowy,Telefon,,,,,,"MK Bowling Poznań to centrum rozrywki zarządzane przez firmę MK Bowling. Obekt znajduje się w Galerii MM na ul. Święty Marcin 24. Oferta obejmuje bowlling, bilard, shuffleboard, dart i gastronomię. Rezerwacje przyjmuje się telefonami (61) 222 50 51 (recepcja) oraz (61) 222 50 52 (biuro), a także mailowo. Wcześniejsza rezerwacja toru bowlingowego jest zalecana.",
Młodzieżowy Ośrodek Sportowy,,Poznań,,wielofunkcyjne,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/,,Nowy,E-mail,,,,,,"Rezerwacje obiektów sportowych przyjmowane telefonicznie lub e-mailowo; strona zawiera link do ""Sprawdź ofertę"" wynajmu, ale brak dedykowanego systemu rezerwacji online.",
Orlik,,Poznań,,wielofunkcyjne,506 042 344,,https://www.posir.poznan.pl/obiekty/rataje/korty-tenisowe,,Nowy,Zewnętrzny,,,,,,"Rezerwacje możliwe mailowo, telefonicznie, przez aplikację Playmore oraz stronę https://playmore.pl/reservation/87/courts; stałe rezerwacje sezonowe przyjmowane wyłącznie mailowo.",
Orlik,,Poznań,,wielofunkcyjne,61 833 05 11,,http://www.chwialka.poznan.pl/,Młodzieżowy Dom Kultury nr 1,Nowy,E-mail,,,,,,"Rezerwacje basenu i hal sportowych prowadzone są poprzez e-mail; adresy e-mail dostępne na stronie dla różnych typów rezerwacji (tory basenowe, hale sportowe).",
Orlik,,Poznań,,wielofunkcyjne,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,Szkoła Podstawowa nr 33 i XXXIII Liceum Ogólnokształcące,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Orlik - Os. Oświecenia,,"Rataje, 61-001 Poznań, Polska",,piłka nożna,61 871 06 42,sekretariat@posir.poznan.pl,https://posir.poznan.pl/obiekty/rataje/boiska-orlik,POSiR Poznań (Poznańskie Ośrodki Sportu i Rekreacji) — jednostka miejska,Nowy,Telefon,,,,,,"<cite index=""1-1"">Kompleks boisk Orlik na terenie Oddziału Rataje zawiera boisko piłkarskie ze sztuczną nawierzchnią oraz boisko wielofunkcyjne do siatkówki i koszykówki.</cite> Obiekt zarządzany przez <cite index=""16-17"">POSiR (ul. Spychalskiego 34, 61-553 Poznań, tel. 618357901)</cite>. <cite index=""1-2"">Kompleks dostępny codziennie w godzinach 7:00 – 22:00.</cite> Rezerwacja boisk odbywa się telefonicznie lub bezpośrednio w administracji obiektu — <cite index=""11-5"">opłata miesięczna dla szkół wynosi 315 zł/miesiąc.</cite>",
Orlik 2012,,Poznań,,wielofunkcyjne,+48 51 090 87 77; +48 61 646 01 62,w.grabinski@akwenczerwonak.pl,https://akwenczerwonak.pl/boiska-sportowe/,AKWEN,Nowy,Nieznany,,,,,,,
Orlik Rataje,Łacina,"os. Piastowskie 65, 61-156 Poznań",61-206,piłka nożna / futsal,,,https://posir.poznan.pl/obiekty/rataje/boiska-orlik,POSiR (Poznańskie Ośrodki Sportu i Rekreacji) — jednostka miasta Poznania,Nowy,Telefon,,,,,,"<cite index=""1-1,1-2"">Kompleks boisk Orlik na terenie Oddziału Rataje POSiR oferuje boisko piłkarskie ze sztuczną nawierzchnią oraz boisko wielofunkcyjne (również do koszykówki i siatkówki), dostępne codziennie w godzinach 7:00 – 22:00.</cite> <cite index=""1-4,1-5"">Zarządzane przez Poznańskie Ośrodki Sportu i Rekreacji (POSiR), tel. 61 871 06 42, 502 361 499.</cite> Rezerwacje odbywają się telefonicznie lub poprzez odpłatne godzinowe/miesięczne umowy, według cennika POSiR.</summary>
<parameter name=""phone"">61 871 06 42, 502 361 499",
Ośrodek Przywodny Rataje,,Poznań,,wielofunkcyjne,506 042 344,,https://www.posir.poznan.pl/obiekty/rataje/korty-tenisowe,,Nowy,Zewnętrzny,,,,,,"Rezerwacje dostępne mailowo, telefonicznie, przez aplikację Playmore oraz na stronie https://playmore.pl/reservation/87/courts. Stałe rezerwacje sezonowe przyjmowane mailowo.",
Ośrodek Sportu i Rekreacji Tarnowo Podgórne,,Poznań,,piłka nożna,61 816 22 15,,http://www.osir.pl/obiekty/przezmierowo,Ośrodek Sportu i Rekreacji Tarnowo Podgórne,Nowy,Własny system,,,,,,"Strona zawiera przyciski ""Rezerwuj"" dla każdego obiektu, które wskazują na własny system rezerwacji obiektu.",
Ośrodek Sportu i Rekreacji Tarnowo Podgórne,,Poznań,,wielofunkcyjne,61 816 22 15,,http://www.osir.pl/obiekty/przezmierowo,Ośrodek Sportu i Rekreacji Tarnowo Podgórne,Nowy,Własny system,,,,,,"Rezerwacje są możliwe poprzez przycisk ""Rezerwuj"" dostępny dla każdego obiektu (hala sportowa, boisko, sale gimnastyczne, kort tenisowy), prowadzący do formularza rezerwacyjnego na stronie obiektu.",
Ośrodek Sportu i Rekreacji Tarnowo Podgórne,,Poznań,,wielofunkcyjne,61 816 22 15,,http://www.osir.pl/obiekty/przezmierowo,Ośrodek Sportu i Rekreacji Tarnowo Podgórne,Nowy,Własny system,,,,,,"Obiekt posiada przycisk ""Rezerwuj"" dla każdej sali/obiektu oraz udostępnia dane kontaktowe (telefon i e-mail) kierownika obiektu do rezerwacji.",
Ośrodek Sportu i Rekreacji w Baranowie,,"Wypoczynkowa, 93a, Baranowo",62-081,wielofunkcyjne,"<cite index=""1-5"">666 895 185, 601 820 594</cite>","<cite index=""1-5"">p.kucharski@osir.pl</cite>",https://osir.pl,"<cite index=""8-1,8-2,8-3"">Ośrodek Sportu i Rekreacji Tarnowo Podgórne (POSiR) zarządzany przez gminę Tarnowo Podgórne</cite>",Nowy,Zewnętrzny,,,,,,"Na stronie znajduje się menu ""REZERWACJE"", które sugeruje dostęp do systemu rezerwacji, ale pełna treść strony rezerwacji nie jest dostępna w analizie.",
Ośrodek Sportu i Rekreacji w Opalenicy,,Poznań,,wielofunkcyjne,61 447 51 90,,,,Nowy,Nieznany,,,,,,,
"Park rekreacyjno-sportowy ""FairPlayce""",,Poznań,,wielofunkcyjne,+48 61 828 79 04; +48 664 715 666,recepcja@fairplayce.pl,https://www.fairplayce.pl/,,Nowy,Zewnętrzny,,,,,,"Rezerwacje on-line dostępne poprzez link ""Rezerwacja"" na stronie, ale konkretna platforma nie jest ujawniona w treści.",
